latitude,longitude,country_name,country_code,region_code,city,cve_id,epss,cvss_version
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-1390,0.00435,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-1390,0.00435,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-1390,0.00435,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-2299,0.00879,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-2299,0.00879,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-2299,0.00879,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-2299,0.00879,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-2299,0.00879,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-2299,0.00879,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-3765,0.00586,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-3765,0.00586,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-3765,0.00586,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-3765,0.00586,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-3765,0.00586,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-3765,0.00586,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-3765,0.00586,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-3765,0.00586,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-3766,0.01392,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-3766,0.01392,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-3766,0.01392,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-3766,0.01392,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-3766,0.01392,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-3766,0.01392,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-3767,0.01768,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-3767,0.01768,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-3767,0.01768,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-3767,0.01768,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-3767,0.01768,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-3767,0.01768,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-3767,0.01768,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-3767,0.01768,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-3767,0.01768,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-3767,0.01768,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-3767,0.01768,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-3767,0.01768,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-3767,0.01768,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-3767,0.01768,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-3767,0.01768,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-3767,0.01768,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-3767,0.01768,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-3767,0.01768,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-3767,0.01768,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-3767,0.01768,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-3767,0.01768,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-3767,0.01768,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-3767,0.01768,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-3767,0.01768,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-3767,0.01768,2
